#
# AVO Labels File
#
# $Id: labels.txt,v 1.1 2005-09-03 19:18:35 dcervelli Exp $

MTBL	-166.6785	53.9693
NCG	-152.1567	61.4037
NCT	-152.9261	60.5632
NNL	-151.2893	60.0443
OKAS	-168.3614	53.4053
OKCD	-168.1123	53.4303
OKCE	-168.1643	53.4270
OKCF	-168.1383	53.3948
OKER	-168.0512	53.4537
OKFG	-167.9115	53.4107
OKID	-167.8162	53.4774
OKRE	-168.1661	53.5194
OKSO	-168.1599	53.3575
OKSP	-168.2905	53.2526
OKTU	-168.0411	53.3839
OKWE	-168.2398	53.4721
OKWR	-168.2056	53.4347
OPT	-153.2299	59.6532
PDB	-154.1925	59.7878
PLBL	-156.8189	57.6998
PLK1	-156.6072	57.8019
PLK2	-156.3243	57.7642
PLK3	-156.2674	57.6887
PLK4	-156.3577	57.6321
PLK5	-156.8777	57.9977
PLWL	-156.3413	58.0449
PN7A	-161.9952	55.4337
PS1A	-161.7404	55.4220
PS4A	-161.8539	55.3469
PV6	-161.9850	55.4536
PVV	-161.7899	55.3740
RDN	-152.7376	60.5228
RDT	-152.4053	60.5732
RDW	-152.8095	60.4827
RED	-152.7718	60.4199
REF	-152.7017	60.4892
RSO	-152.7538	60.4622
SP02	-152.0580	61.1769
SP03	-152.0469	61.1368
SP04	-152.2566	61.1336
SP05	-152.0883	61.3466
SP06	-152.1842	61.2598
SP07	-151.9640	61.3464
SP08	-152.4450	61.3326
SP09	-151.7987	61.2356
SP10	-152.5164	61.3744
SP11	-152.6209	61.1797
SP12	-152.1329	61.3938
SPBG	-152.3699	61.2597
SPCG	-152.0205	61.2919
SPCR	-152.2068	61.2009
SPNW	-152.6039	61.3471
SPU	-152.0543	61.1817
SPWE	-152.5568	61.2740
SSLN	-163.9959	54.8118
SSLS	-163.9988	54.7120
SSLW	-164.1214	54.7718
STLK	-152.8327	61.4988
SYI	-152.3908	58.6100
TACS	-178.1394	51.8632
TAFL	-177.8978	51.7566
TAFP	-177.9833	51.9001
TANO	-178.1208	51.9157
TAPA	-177.8128	51.8155
TASE	-178.0370	51.8350
VNFG	-159.5511	56.2857
VNHG	-159.1642	56.2211
VNKR	-159.3678	56.0312
VNNF	-159.3160	56.2837
VNSG	-159.0854	56.1258
VNSS	-159.4548	56.2267
VNSW	-159.5585	56.0720
VNWF	-159.5622	56.1517
WACK	-144.3284	61.9863
WANC	-144.0699	62.0032
WASW	-144.1724	61.9282
WAZA	-144.1522	62.0751
WESE	-164.5840	54.4732
WESN	-164.5784	54.5724
WESS	-164.7222	54.4805
WFAR	-164.7761	54.5338
WPOG	-164.7434	54.5973
WTUG	-164.3853	54.8475
XLV	-151.6717	59.4547
ZRO	-165.9780	54.0916
